id,label,text
746372_1,NO,"""To me this is intersection."""
746372_2,NO,"""See the below example  Employee1 Employee2 Employee3  Dept1.employess=Employee1 Dept1.employess=Employee3  Dept2.employess=Employee2  Intersection   Employee1 x Dept1.employess=Employee1 Employee3 x Dept1.employess=Employee3 Employee2 x Dept2.employess=Employee2  I don't like this sintax since it changes an obvious behaviour, IMO."""
746372_3,NO,"""I would prefer to write it as  SELECT intersect(employee,this.employees).manager.lastname FROM org.apache.jdo.tck.pc.company.Department VARIABLES Employee employee   Now it's up to up to clearify """
1349217_1,NO,"""JUnit test and Patch provided"""
812658_1,NO,"""Patch framework src/java and src/test to include JNDI adapters and unit tests."""
1114422_1,NO,"""> we have to do it for each call."""
1114422_2,NO,"""I meant for each newly added/deleted ones."""
1023779_1,YES,"""If someone wants to take this over, that's cool - I'm unlikely to have time in the next week and a half, though."""
1023779_2,YES,"""It is a nasty bug that I've seen in real life, though."""
1411121_1,NO,"""Here's another crack at this:  1) The default behavior for Derby is the current behavior with all of its security holes for java routines."""
1411121_2,NO,"""2) To get secure behavior for java routines, the customer has to explicitly opt-in."""
1411121_3,NO,"""Let's be vague about what that entails right now."""
1411121_4,NO,"""3) If you do opt-in, then you get the SQL standard behavior:     3a) Jar ids are mandatory."""
1411121_6,NO,"""Instead, to access methods in the JRE you have to include little wrapper methods in your jar files that you loaded into the database."""
1411121_7,NO,"""3c) The search order for customer-written routines is SQL standard: First we look in the jar file where the routine lives."""
1411121_8,NO,"""Then we look in the other jar files in the order specified by SQLJ.ALTER_JAVA_PATH."""
1411121_9,NO,"""Then we defer to the system class loader."""
1411121_10,NO,"""3d) At runtime, when we invoke the routine, we make sure that it actually lives in the declared jar file. """
622001_1,NO,"""MR's fix (similar to HDFS one)."""
310158_1,NO,"""Note also that an implementation goal is to not spawn threads to do writes to the underlying transport (like TFileTransport does now). """
1430031_1,NO,"""Sample implementation of CREATE DATABASE and DROP DATABASE for MySQL 5.0.2+."""
389675_2,NO,"""Thanks."""
389675_3,NO,"""In the wiki next to each one of these parameters it explicitly says that reducing this parameter will decrease memory usage, this is why we reduced these parameters (it did not mention the filterCache at all)."""
389675_4,NO,"""They will save RAM to a certain extent for certain situations."""
389675_5,NO,"""But not very helpful at the sizes you are working with (and not settings I would use to save RAM anyway, unless the amount I need to save was pretty small)."""
389675_6,NO,"""Also, the savings are largely index side - not likely a huge part of your RAM concerns, which are search side."""
389675_8,NO,"""My filterCache stats are great- you know it's set to 64K but right now, with almost all the RAM used up (we're at 71.9% now), but it's only using 36290 entries at the moment and it's holding pretty steady there(even as RAM usage increased by 10%)."""
389675_9,NO,"""None of the other caches have gone up much either."""
389675_10,NO,"""We have no cache evictions, at all, but a 99% hit ratio."""
389675_11,NO,"""The sizes may be higher than you need then."""
